Function15 called 56 times Max cycle: 58802176  Min cycle: 11328097
Function16 called 16 times Max cycle: 28853288  Min cycle: 16320835
Function3 called 9 times Max cycle: 54384389  Min cycle: 31119865
Function12 called 8 times Max cycle: 100718826  Min cycle: 92427089
Function6 called 68 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 69 times Max cycle: 17145096  Min cycle: 5157179
Function8 called 15 times Max cycle: 15277584  Min cycle: 8574969
Function18 called 8 times Max cycle: 109432227  Min cycle: 99762360
Function15 called 57 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 41 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 70 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 71 times Max cycle: 17145096  Min cycle: 5157179
Function7 called 17 times Max cycle: 11274077  Min cycle: 5401466
Function9 called 17 times Max cycle: 12296635  Min cycle: 5226918
Function15 called 58 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 42 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 72 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 73 times Max cycle: 17145096  Min cycle: 5157179
Function8 called 16 times Max cycle: 15277584  Min cycle: 8574969
Function15 called 59 times Max cycle: 58802176  Min cycle: 11328097
Function6 called 74 times Max cycle: 17145096  Min cycle: 5157179
Function16 called 17 times Max cycle: 28853288  Min cycle: 16320835
Function21 called 8 times Max cycle: 107736648  Min cycle: 102250958
Function15 called 60 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 43 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 75 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 76 times Max cycle: 17145096  Min cycle: 5157179
Function7 called 18 times Max cycle: 11274077  Min cycle: 5401466
Function9 called 18 times Max cycle: 12296635  Min cycle: 5226918
Function15 called 61 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 44 times Max cycle: 60084528  Min cycle: 16210281
Function15 called 62 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 45 times Max cycle: 60084528  Min cycle: 16210281
Function15 called 63 times Max cycle: 58802176  Min cycle: 11328097
Function16 called 18 times Max cycle: 28853288  Min cycle: 16320835
Function3 called 10 times Max cycle: 54384389  Min cycle: 31119865
Function12 called 9 times Max cycle: 100718826  Min cycle: 92427089
Function6 called 77 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 78 times Max cycle: 17145096  Min cycle: 5157179
Function8 called 17 times Max cycle: 15277584  Min cycle: 8574969
Function18 called 9 times Max cycle: 109432227  Min cycle: 99762360
Function15 called 64 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 46 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 79 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 80 times Max cycle: 17145096  Min cycle: 5157179
Function7 called 19 times Max cycle: 11274077  Min cycle: 5401466
Function9 called 19 times Max cycle: 12296635  Min cycle: 5226918
Function15 called 65 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 47 times Max cycle: 60084528  Min cycle: 16210281
